2.3.1.87,"['acetyl-CoA [CPD:C00024]', '2-arylethylamine [CPD:C15534]']","['CoA [CPD:C00010]', 'N-acetyl-2-arylethylamine [CPD:C15535]']",R03760,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP000004
6.1.1.7,"['ATP [CPD:C00002]', 'L-alanine [CPD:C00041]', 'tRNA(Ala) [CPD:C01635]']","['AMP [CPD:C00020]', 'diphosphate [CPD:C00013]', 'L-alanyl-tRNA(Ala) [CPD:C00886]']",R03038,"['Ligases', 'Forming carbon-oxygen bonds', 'Ligases forming aminoacyl-tRNA and related compounds']",MGP000005
6.1.1.7,"['ATP [CPD:C00002]', 'L-alanine [CPD:C00041]', 'tRNA(Ala) [CPD:C01635]']","['AMP [CPD:C00020]', 'diphosphate [CPD:C00013]', 'L-alanyl-tRNA(Ala) [CPD:C00886]']",R03038,"['Ligases', 'Forming carbon-oxygen bonds', 'Ligases forming aminoacyl-tRNA and related compounds']",MGP005634
1.5.1.8,"['N6-(L-1,3-dicarboxypropyl)-L-lysine [CPD:C00449]', 'NADP+ [CPD:C00006]', 'H2O [CPD:C00001]']","['L-lysine [CPD:C00047]', '2-oxoglutarate [CPD:C00026]', 'NADPH [CPD:C00005]', 'H+ [CPD:C00080]']",R00716,"['Oxidoreductases', 'Acting on the CH-NH group of donors', 'With NAD+ or NADP+ as acceptor']",MGP004145
2.6.1.19,"['4-aminobutanoate [CPD:C00334]', '2-oxoglutarate [CPD:C00026]']","['succinate semialdehyde [CPD:C00232]', 'L-glutamate [CPD:C00025]']",R01648,"['Transferases', 'Transferring nitrogenous groups', 'Transaminases']",MGP000006
2.3.1.51,"['acyl-CoA [CPD:C00040]', '1-acyl-sn-glycerol 3-phosphate [CPD:C00681]']","['CoA [CPD:C00010]', '1,2-diacyl-sn-glycerol 3-phosphate [CPD:C00416]']",R02241,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP005118
2.7.10.2,"['ATP [CPD:C00002]', '[protein]-L-tyrosine [CPD:C00585]']","['ADP [CPD:C00008]', '[protein]-L-tyrosine phosphate [CPD:C01167]']",R02584,"['Transferases', 'Transferring phosphorus-containing groups', 'Protein-tyrosine kinases']",MGP000011
2.7.10.2,"['ATP [CPD:C00002]', '[protein]-L-tyrosine [CPD:C00585]']","['ADP [CPD:C00008]', '[protein]-L-tyrosine phosphate [CPD:C01167]']",R02584,"['Transferases', 'Transferring phosphorus-containing groups', 'Protein-tyrosine kinases']",MGP000013
2.3.1.16,"['acyl-CoA [CPD:C00040]', 'acetyl-CoA [CPD:C00024]', '[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine', '[acetyl-CoA C-acyltransferase]-L-cysteine']","['CoA [CPD:C00010]', '3-oxoacyl-CoA [CPD:C00264]', '[acetyl-CoA C-acyltransferase]-L-cysteine', '[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine']",R00391,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP000015
2.3.1.16,"['acyl-CoA [CPD:C00040]', 'acetyl-CoA [CPD:C00024]', '[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine', '[acetyl-CoA C-acyltransferase]-L-cysteine']","['CoA [CPD:C00010]', '3-oxoacyl-CoA [CPD:C00264]', '[acetyl-CoA C-acyltransferase]-L-cysteine', '[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine']",R00391,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP004244
6.4.1.2,"['ATP [CPD:C00002]', 'acetyl-CoA [CPD:C00024]', 'hydrogencarbonate [CPD:C00288]']","['ADP [CPD:C00008]', 'phosphate [CPD:C00009]', 'malonyl-CoA [CPD:C00083]']",R00742,"['Ligases', 'Forming carbon-carbon bonds', 'Ligases that form carbon-carbon bonds (only sub-subclass identified to date)']",MGP000016
6.4.1.2,"['ATP [CPD:C00002]', 'acetyl-CoA [CPD:C00024]', 'hydrogencarbonate [CPD:C00288]']","['ADP [CPD:C00008]', 'phosphate [CPD:C00009]', 'malonyl-CoA [CPD:C00083]']",R00742,"['Ligases', 'Forming carbon-carbon bonds', 'Ligases that form carbon-carbon bonds (only sub-subclass identified to date)']",MGP000017
1.3.8.8,"['long-chain acyl-CoA [CPD:C02843]', 'electron-transfer flavoprotein [CPD:C04253]']","['long-chain trans-2,3-dehydroacyl-CoA', 'reduced electron-transfer flavoprotein [CPD:C04570]']",R00392,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With a flavin as acceptor']",MGP000018
1.3.8.7,"['medium-chain acyl-CoA [CPD:C21926]', 'electron-transfer flavoprotein [CPD:C04253]']","['medium-chain trans-2,3-dehydroacyl-CoA', 'reduced electron-transfer flavoprotein [CPD:C04570]']",R00392,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With a flavin as acceptor']",MGP000019
1.3.8.1,"['short-chain acyl-CoA [CPD:C20675]', 'electron-transfer flavoprotein [CPD:C04253]']","['short-chain trans-2,3-dehydroacyl-CoA [CPD:C20676]', 'reduced electron-transfer flavoprotein [CPD:C04570]']",R01178,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With a flavin as acceptor']",MGP000020
1.3.8.5,"['2-methylbutanoyl-CoA [CPD:C01033]', 'electron-transfer flavoprotein [CPD:C04253]']","['(E)-2-methylbut-2-enoyl-CoA [CPD:C03345]', 'reduced electron-transfer flavoprotein [CPD:C04570]', 'H+ [CPD:C00080]']",R03169,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With a flavin as acceptor']",MGP000021
1.3.8.9,"['very-long-chain acyl-CoA [CPD:C20876]', 'electron-transfer flavoprotein [CPD:C04253]']","['very-long-chain trans-2,3-dehydroacyl-CoA [CPD:C20879]', 'reduced electron-transfer flavoprotein [CPD:C04570]']",(other,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With a flavin as acceptor']",MGP000022
2.3.1.9,"['acetyl-CoA [CPD:C00024]', '[acetyl-CoA C-acetyltransferase]-L-cysteine', '[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine']","['CoA [CPD:C00010]', 'acetoacetyl-CoA [CPD:C00332]', '[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine', '[acetyl-CoA C-acetyltransferase]-L-cysteine']",R00238,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP000023
2.3.1.9,"['acetyl-CoA [CPD:C00024]', '[acetyl-CoA C-acetyltransferase]-L-cysteine', '[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine']","['CoA [CPD:C00010]', 'acetoacetyl-CoA [CPD:C00332]', '[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine', '[acetyl-CoA C-acetyltransferase]-L-cysteine']",R00238,"['Transferases', 'Acyltransferases', 'Transferring groups other than aminoacyl groups']",MGP000024
3.4.17.23,"['angiotensin II [CPD:C02135]', 'H2O [CPD:C00001]']","['angiotensin-(1--7)', 'L-phenylalanine [CPD:C00079]']",R09535,"['Hydrolases', 'Acting on peptide bonds (peptidases)', 'Metallocarboxypeptidases']",MGP005699
3.5.1.23,"['ceramide [CPD:C00195]', 'H2O [CPD:C00001]']","['carboxylate [CPD:C00060]', 'sphingosine [CPD:C00319]']",R01493,"['Hydrolases', 'Acting on carbon-nitrogen bonds, other than peptide bonds', 'In linear amides']",MGP006458
3.5.1.23,"['ceramide [CPD:C00195]', 'H2O [CPD:C00001]']","['carboxylate [CPD:C00060]', 'sphingosine [CPD:C00319]']",R01493,"['Hydrolases', 'Acting on carbon-nitrogen bonds, other than peptide bonds', 'In linear amides']",MGP007013
3.1.1.7,"['acetylcholine [CPD:C01996]', 'H2O [CPD:C00001]']","['choline [CPD:C00114]', 'acetate [CPD:C00033]']",R01026,"['Hydrolases', 'Acting on ester bonds', 'Carboxylic-ester hydrolases']",MGP000027
2.3.3.8,"['ADP [CPD:C00008]', 'phosphate [CPD:C00009]', 'acetyl-CoA [CPD:C00024]', 'oxaloacetate [CPD:C00036]']","['ATP [CPD:C00002]', 'citrate [CPD:C00158]', 'CoA [CPD:C00010]']",R00352,"['Transferases', 'Acyltransferases', 'Acyl groups converted into alkyl groups on transfer']",MGP000028
4.1.1.45,['2-amino-3-(3-oxoprop-1-en-1-yl)but-2-enedioate [CPD:C04409]'],"['2-aminomuconate semialdehyde [CPD:C03824]', 'CO2 [CPD:C00011]']",R04323,"['Lyases', 'Carbon-carbon lyases', 'Carboxy-lyases']",MGP006507
4.2.1.3,"['citrate [CPD:C00158]', 'cis-aconitate [CPD:C00417]', 'H2O [CPD:C00001]']","['isocitrate [CPD:C00311]', 'cis-aconitate [CPD:C00417]', 'H2O [CPD:C00001]']",R01324,"['Lyases', 'Carbon-oxygen lyases', 'Hydro-lyases']",MGP000029
4.2.1.3,"['citrate [CPD:C00158]', 'cis-aconitate [CPD:C00417]', 'H2O [CPD:C00001]']","['isocitrate [CPD:C00311]', 'cis-aconitate [CPD:C00417]', 'H2O [CPD:C00001]']",R01324,"['Lyases', 'Carbon-oxygen lyases', 'Hydro-lyases']",MGP000031
3.1.2.1,"['acetyl-CoA [CPD:C00024]', 'H2O [CPD:C00001]']","['CoA [CPD:C00010]', 'acetate [CPD:C00033]']",R00227,"['Hydrolases', 'Acting on ester bonds', 'Thioester hydrolases']",MGP006531
3.1.2.27,"['choloyl-CoA [CPD:C01794]', 'H2O [CPD:C00001]']","['cholate [CPD:C00695]', 'CoA [CPD:C00010]']",R07296,"['Hydrolases', 'Acting on ester bonds', 'Thioester hydrolases']",MGP004082
1.17.99.3,"['(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA [CPD:C15613]', 'H2O [CPD:C00001]', 'acceptor [CPD:C00028]']","['(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA [CPD:C15614]', 'reduced acceptor [CPD:C00030]']",R07374,"['Oxidoreductases', 'Acting on CH or CH2 groups', 'With unknown physiological acceptors']",MGP003480
1.3.3.6,"['acyl-CoA [CPD:C00040]', 'O2 [CPD:C00007]']","['trans-2,3-dehydroacyl-CoA [CPD:C00658]', 'H2O2 [CPD:C00027]']",R00388,"['Oxidoreductases', 'Acting on the CH-CH group of donors', 'With oxygen as acceptor']",MGP003481
